,name,category,state_abbrv,county_uid,city_uid,in_flow,out_flow,flow,pretty_category,lcc,color,x,y
ae7962d6-6d4c-47ba-b5f9-b1b622aa1fc6,NATIONAL ASSOCIATION OF POLICE OFFICERS,Police Nonprofits,VA,C-510-51,ALEXANDRIA-510-51,385.0,0.0,385.0,Havens,1,#F2BE57,48.25491353036164,93.14189841208176
9bba5918-9e9f-4e94-bc19-65c8927bb7c0,LOCAL INITIATIVES SUPPORT CORPORATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,20000.0,20000.0,Private-ish,1,#668DE5,116.00749277866969,20.6870595558443
9a08e431-28ae-445b-a8c7-ab06739f2e39,THE HARVEY  RUTH GELFENBEIN CHARITABLE FOUNDATION INC,Private-ish,FL,C-99-12,BOCA RATON-99-12,0.0,50.0,50.0,Private-ish,1,#668DE5,64.34331063133446,87.14496123588124
d833d620-264a-4e4d-b43e-739482c8d773,THE NEW YORK COMMUNITY TRUST,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,330000.0,330000.0,Private-ish,1,#668DE5,104.31607127472301,136.7666374748925
cb243965-3f09-4479-a62c-8f78b165ff23,THE CARL C ICAHN FOUNDATION CO ICAHN ASSOCIATES HOLDING LLC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,200000.0,200000.0,Private-ish,1,#668DE5,66.17155688372287,135.5163818088181
858f0d43-a4ab-4d40-a227-b411acca2656,ELLA GAYLE HAMLIN FOUNDATION INC,Private-ish,NM,C-49-35,SANTA FE-49-35,0.0,1000.0,1000.0,Private-ish,1,#668DE5,121.49123635193831,150.9352603713096
5e3ed039-b7b2-4c51-9af2-c30b1c67af09,3315C010021768 TTEE ISAAC BELL MEDAL FOR BRAVERY,Police Nonprofits,NY,C-81-36,NEW YORK-0-36,0.0,26839.0,26839.0,Private-ish,1,#668DE5,67.44203515541437,136.84967923055598
e2c89908-36ac-49e8-ab5e-5ced6c6c0f4a,FISHER BROTHERS FOUNDAT ION INC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,78500.0,78500.0,Private-ish,1,#668DE5,63.25205889533067,137.03157690264123
6273516f-5a58-42ee-83dd-60ef4bce853b,PRISCILLA  RICHARD J SCHMEELK FOUNDATION INC,Private-ish,NY,C-59-36,MASSAPEQUA PARK-59-36,0.0,42000.0,42000.0,Private-ish,1,#668DE5,85.82734059158469,137.91915701338496
fb4e2b1f-77fc-4fb1-a4e9-729213400a62,MARY P DOLCIANI HALLORAN FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,181291.0,181291.0,Private-ish,1,#668DE5,151.99738079766598,65.94229931607455
